2a0e:8f02:f066::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b0::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b1::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b2::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b3::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b4::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b5::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b6::/48,DE,DE-HE,Frankfurt,
2a0c:9a40:80b7::/48,DE,DE-HE,Frankfurt,
2a0c:9a40:80b8::/48,HU,HU-BU,Budapest,
2a0c:9a40:80b9::/48,HU,HU-BU,Budapest,
2a0c:9a40:80ba::/48,HU,HU-BU,Budapest,
2a0c:9a40:80bb::/48,HU,HU-BU,Budapest,
2a0c:9a40:80bc::/48,HU,HU-SO,Barcs,7570
2a0c:9a40:80bd::/48,HU,HU-SO,Barcs,7570
2a0c:9a40:80be::/48,HU,HU-SO,Barcs,7570
2a0c:9a40:80bf::/48,HU,HU-SO,Barcs,7570
44.32.76.0/24,HU,HU-BU,Budapest,
